H,S,V,Target
0.017,0.701,0.433,5
0.022,0.667,0.486,5
0.141,0.251,0.168,1
0.151,0.344,0.195,1
0.163,0.420,0.206,1
0.166,0.538,0.267,1
0.172,0.615,0.316,1
0.169,0.665,0.346,1
0.169,0.681,0.352,1
0.169,0.675,0.368,4
0.170,0.679,0.373,4
0.168,0.671,0.381,4
0.166,0.676,0.386,4
0.168,0.670,0.390,4
0.166,0.679,0.390,4
0.572,0.081,0.497,6
0.554,0.065,0.478,6
0.653,0.025,0.442,6
0.856,0.032,0.432,6
0.912,0.037,0.425,6
0.973,0.119,0.425,6
0.967,0.128,0.438,5
0.000,0.319,0.438,5
0.016,0.632,0.431,5
0.017,0.680,0.428,5
0.015,0.690,0.425,5
0.018,0.698,0.414,5
0.019,0.688,0.413,5
0.577,0.557,0.374,2
0.580,0.504,0.378,2
0.578,0.406,0.378,2
0.570,0.224,0.382,2
0.550,0.143,0.386,2
0.535,0.117,0.379,2
0.542,0.106,0.383,2
0.531,0.075,0.394,6
0.556,0.082,0.405,6
0.536,0.073,0.405,6
0.544,0.075,0.418,6
0.542,0.063,0.412,6
0.542,0.062,0.416,6
0.551,0.057,0.421,6
0.556,0.066,0.421,6
0.539,0.065,0.425,6
0.544,0.064,0.431,6
0.538,0.057,0.421,6
0.573,0.429,0.354,2
0.572,0.420,0.352,2
0.571,0.420,0.349,2
0.303,0.577,0.405,3
0.303,0.575,0.403,3
0.438,0.142,0.420,3
0.332,0.223,0.458,3
0.332,0.226,0.460,3
0.477,0.109,0.430,3
0.551,0.095,0.541,6
0.549,0.092,0.543,6
0.549,0.092,0.543,6
0.545,0.090,0.534,6
0.560,0.087,0.532,6
0.567,0.090,0.534,6
0.558,0.087,0.520,6
0.015,0.662,0.428,5
0.016,0.650,0.433,5
0.001,0.501,0.430,5
0.007,0.532,0.470,5
0.998,0.476,0.454,5
0.998,0.474,0.453,5
0.700,0.192,0.363,2
0.613,0.311,0.379,2
0.590,0.400,0.374,2
0.578,0.459,0.374,2
0.575,0.512,0.381,2
0.571,0.536,0.381,2
0.305,0.545,0.454,3
0.305,0.549,0.451,3
0.300,0.584,0.420,3
0.303,0.572,0.426,3
0.300,0.569,0.419,3
0.299,0.545,0.412,3
0.309,0.559,0.431,3
0.306,0.571,0.412,3
0.304,0.598,0.380,3
0.303,0.582,0.378,3
0.302,0.568,0.384,3
0.301,0.572,0.370,3
0.298,0.553,0.350,3
0.294,0.543,0.334,3
0.248,0.433,0.219,1
0.215,0.374,0.187,1
0.205,0.352,0.180,1
0.178,0.321,0.169,1
0.161,0.322,0.166,1
0.154,0.303,0.161,1
0.150,0.290,0.162,1
0.150,0.278,0.162,1
0.137,0.259,0.178,1
0.575,0.544,0.399,2
0.574,0.547,0.390,2
0.573,0.560,0.376,2
0.570,0.543,0.371,2
0.577,0.538,0.371,2
0.572,0.501,0.351,2
0.572,0.451,0.339,2
0.566,0.273,0.273,1
0.572,0.264,0.275,1
0.571,0.281,0.279,1
0.563,0.282,0.277,1
0.167,0.285,0.261,1
0.172,0.315,0.271,1
0.164,0.421,0.280,1
0.165,0.703,0.335,4
0.165,0.695,0.344,4
0.167,0.710,0.342,4
0.167,0.711,0.357,4
0.167,0.702,0.364,4
0.166,0.702,0.364,4
0.165,0.704,0.361,4
0.165,0.716,0.357,4
0.163,0.718,0.359,4
0.312,0.559,0.431,3
0.311,0.569,0.414,3
0.309,0.581,0.391,3
0.308,0.589,0.385,3
0.307,0.582,0.378,3
0.247,0.521,0.282,1
0.209,0.547,0.282,1
0.195,0.560,0.282,1
0.172,0.590,0.296,1
0.162,0.659,0.313,1
0.163,0.699,0.361,4
0.165,0.694,0.361,4
0.164,0.717,0.344,4
0.164,0.696,0.357,4
0.167,0.690,0.368,4
0.524,0.159,0.284,1
0.563,0.290,0.295,1
0.195,0.321,0.316,1
0.172,0.585,0.390,1
0.170,0.621,0.406,1
0.170,0.633,0.414,1
0.212,0.149,0.384,1
0.207,0.149,0.382,1
0.207,0.149,0.382,1
