H,S,V,Target
0.012,0.701,0.320,5
0.011,0.645,0.461,5
0.020,0.702,0.414,5
0.027,0.666,0.474,5
0.030,0.803,0.410,5
0.556,0.063,0.350,6
0.569,0.059,0.375,6
0.571,0.077,0.499,6
0.528,0.037,0.302,6
0.565,0.065,0.394,6
0.569,0.077,0.432,6
0.549,0.060,0.368,6
0.558,0.049,0.379,6
0.583,0.047,0.316,6
0.563,0.058,0.383,6
0.538,0.055,0.368,6
0.558,0.063,0.383,6
0.556,0.059,0.375,6
0.579,0.076,0.438,6
0.579,0.075,0.493,6
0.591,0.079,0.515,6
0.583,0.066,0.390,6
0.536,0.037,0.350,6
0.545,0.061,0.394,6
0.550,0.049,0.375,6
0.573,0.045,0.324,6
0.567,0.051,0.361,6
0.567,0.081,0.453,6
0.545,0.058,0.412,6
0.535,0.058,0.379,6
0.533,0.050,0.368,6
0.574,0.072,0.432,6
0.036,0.119,0.178,1
0.048,0.186,0.208,1
0.136,0.177,0.171,1
0.130,0.059,0.140,1
0.116,0.118,0.179,1
0.152,0.071,0.142,1
0.090,0.144,0.167,1
0.770,0.242,0.171,1
0.133,0.120,0.231,1
0.104,0.085,0.173,1
0.850,0.065,0.142,1
0.167,0.059,0.155,1
0.095,0.147,0.176,1
0.140,0.182,0.156,1
0.071,0.235,0.165,1
0.009,0.095,0.175,1
0.139,0.133,0.167,1
0.108,0.096,0.164,1
0.120,0.190,0.189,1
0.089,0.078,0.178,1
0.116,0.172,0.177,1
0.140,0.537,0.075,1
0.093,0.133,0.173,1
0.054,0.142,0.201,1
0.076,0.149,0.148,1
0.674,0.080,0.277,1
0.630,0.089,0.279,1
0.667,0.083,0.279,1
0.654,0.088,0.282,1
0.654,0.089,0.281,1
0.204,0.202,0.224,1
0.147,0.205,0.153,1
0.147,0.205,0.153,1
0.230,0.190,0.165,1
0.735,0.127,0.318,1
0.722,0.128,0.324,1
0.727,0.133,0.326,1
0.730,0.129,0.322,1
0.734,0.134,0.322,1
0.724,0.138,0.326,1
0.730,0.129,0.322,1
0.917,0.033,0.280,1
0.009,0.064,0.259,1
0.135,0.345,0.155,1
0.143,0.452,0.201,1
0.174,0.578,0.427,4
0.174,0.582,0.460,4
0.175,0.597,0.438,4
0.175,0.578,0.477,4
0.176,0.572,0.479,4
0.132,0.396,0.177,1
0.151,0.502,0.218,1
0.149,0.514,0.224,1
0.151,0.516,0.228,1
0.154,0.512,0.236,1
0.154,0.541,0.245,1
0.156,0.533,0.254,1
0.155,0.539,0.258,1
0.155,0.543,0.259,1
0.160,0.559,0.298,1
0.162,0.561,0.300,1
0.160,0.564,0.302,1
0.162,0.570,0.302,1
0.163,0.551,0.305,1
0.165,0.569,0.305,1
0.163,0.572,0.307,1
0.161,0.568,0.313,1
0.165,0.568,0.313,1
0.163,0.564,0.318,1
0.165,0.574,0.322,1
0.165,0.565,0.324,1
0.163,0.575,0.331,1
0.163,0.573,0.339,1
0.167,0.566,0.364,4
0.167,0.570,0.368,4
0.167,0.572,0.370,4
0.167,0.575,0.376,4
0.168,0.583,0.410,4
0.167,0.579,0.394,4
0.169,0.579,0.397,4
0.167,0.583,0.397,4
0.167,0.578,0.401,4
0.168,0.581,0.399,4
0.168,0.582,0.405,4
0.169,0.584,0.416,4
0.169,0.580,0.416,4
0.170,0.585,0.417,4
0.175,0.563,0.379,4
0.174,0.560,0.381,4
0.174,0.560,0.381,4
0.173,0.564,0.384,4
0.174,0.561,0.385,4
0.175,0.565,0.394,4
0.175,0.575,0.394,4
0.175,0.575,0.390,4
0.174,0.573,0.409,4
0.174,0.587,0.414,4
0.174,0.591,0.423,4
0.175,0.591,0.428,4
0.174,0.592,0.433,4
0.175,0.592,0.438,4
0.175,0.594,0.440,4
0.175,0.593,0.425,4
0.175,0.593,0.416,4
0.173,0.590,0.399,4
0.173,0.582,0.387,4
0.174,0.575,0.368,4
0.176,0.572,0.359,4
0.173,0.565,0.353,4
0.167,0.579,0.376,4
0.167,0.579,0.380,4
0.168,0.578,0.366,4
0.167,0.572,0.370,4
0.175,0.566,0.390,4
0.167,0.574,0.348,4
0.165,0.573,0.351,4
0.167,0.585,0.417,4
0.174,0.587,0.419,4
0.175,0.580,0.466,4
0.175,0.582,0.468,4
0.174,0.588,0.466,4
0.175,0.582,0.469,4
0.174,0.584,0.457,4
0.154,0.162,0.147,1
0.143,0.297,0.177,1
0.145,0.250,0.195,1
0.118,0.270,0.198,1
0.102,0.296,0.208,1
0.121,0.302,0.189,1
0.126,0.249,0.211,1
0.125,0.306,0.168,1
0.131,0.296,0.187,1
0.135,0.285,0.171,1
0.145,0.295,0.168,1
0.103,0.214,0.215,1
0.107,0.197,0.211,1
0.148,0.164,0.101,1
0.612,0.500,0.224,2
0.617,0.461,0.285,2
0.611,0.509,0.206,2
0.614,0.482,0.210,2
0.612,0.479,0.269,2
0.604,0.471,0.332,2
0.614,0.527,0.173,2
0.608,0.505,0.169,2
0.606,0.460,0.254,2
0.612,0.426,0.352,2
0.612,0.496,0.243,2
0.609,0.453,0.350,2
0.272,0.460,0.244,3
0.259,0.508,0.179,3
0.279,0.462,0.215,3
0.256,0.451,0.198,3
0.281,0.409,0.274,3
0.268,0.484,0.228,3
0.265,0.446,0.231,3
0.256,0.491,0.315,3
0.273,0.448,0.283,3
0.269,0.404,0.255,3
0.263,0.512,0.304,3
0.260,0.434,0.246,3
0.272,0.434,0.259,3
0.024,0.682,0.611,5
0.022,0.666,0.581,5
0.029,0.684,0.603,5
0.038,0.701,0.596,5
0.029,0.669,0.581,5
0.033,0.684,0.589,5
0.031,0.702,0.574,5
0.028,0.680,0.607,5
0.034,0.711,0.585,5
0.039,0.702,0.592,5
0.040,0.705,0.592,5
0.030,0.599,0.699,5
0.031,0.597,0.695,5
0.031,0.597,0.695,5
0.031,0.674,0.591,5
0.031,0.668,0.591,5
0.031,0.672,0.592,5
0.032,0.675,0.592,5
0.034,0.680,0.607,5
0.034,0.680,0.607,5
0.034,0.677,0.607,5
0.034,0.680,0.607,5
0.032,0.669,0.598,5
0.032,0.668,0.596,5
0.031,0.665,0.596,5
0.032,0.668,0.596,5
0.023,0.645,0.589,5
0.023,0.645,0.589,5
0.023,0.645,0.589,5
0.024,0.647,0.587,5
0.025,0.653,0.591,5
0.034,0.643,0.626,5
0.032,0.635,0.629,5
0.034,0.643,0.626,5
0.035,0.646,0.626,5
